N,4mC_A.thaliana2,4mC_C.elegans2,4mC_C.equisetifolia,4mC_D.melanogaster2,4mC_E.coli2,4mC_F.vesca,4mC_G.pickeringii2,4mC_G.subterraneus2,4mC_S.cerevisiae,4mC_Tolypocladium
1,0.8353674714778456,0.897262842144732,0.8005464480874317,0.9178881650380022,0.8690476190476191,0.8182451253481894,0.8239669421487603,0.7436823104693141,0.7067745197168858,0.7191047892470311
2,0.8354559122667374,0.8978252718410199,0.7923497267759563,0.9170738327904452,0.9047619047619048,0.8228665484932894,0.8400826446280992,0.7503325099752992,0.7002022244691608,0.719431032232807
3,0.8368267444945608,0.9051368578927634,0.773224043715847,0.9223669923995657,0.8888888888888888,0.8270448214737909,0.8334710743801653,0.757647729431883,0.7022244691607684,0.7122536865457393
4,0.8370920668612364,0.9062617172853393,0.8060109289617486,0.9214169381107492,0.8849206349206349,0.821916940997721,0.8293388429752067,0.741592247767433,0.6966632962588474,0.7109487146026361
5,0.8371362872556823,0.9032620922384702,0.8142076502732241,0.9256243213897937,0.873015873015873,0.8177386680172195,0.8198347107438017,0.7473874216226487,0.7057633973710818,0.7062508156074644
6,0.8311223136110374,0.9109486314210724,0.8333333333333334,0.9275244299674267,0.876984126984127,0.8255887566472525,0.8177685950413223,0.7475774273228197,0.6911021233569262,0.7020749053895341
7,0.8377111523834793,0.904949381327334,0.7759562841530054,0.9267100977198697,0.8690476190476191,0.8209040263357812,0.8086776859504132,0.7377921337640129,0.69211324570273,0.7050763408586715
8,0.8384628990890599,0.9047619047619048,0.7950819672131147,0.9237242128121607,0.8849206349206349,0.8237528488224867,0.8033057851239669,0.7579327379821394,0.6718907987866531,0.7053373352472921
9,0.8346599451667109,0.9002624671916011,0.7841530054644809,0.9237242128121607,0.8690476190476191,0.8186249683464168,0.8128099173553719,0.7465323959718791,0.6850353892821032,0.7059245726216886
10,0.8368709648890068,0.9041994750656168,0.7814207650273224,0.9223669923995657,0.8849206349206349,0.8197011901747278,0.8185950413223141,0.7510925327759833,0.6809908998988877,0.716168602375049
11,0.8377995931723711,0.9000749906261717,0.7923497267759563,0.9238599348534202,0.8809523809523809,0.8153329956951126,0.7991735537190082,0.7398821964658939,0.6804853387259858,0.6909173952760016
12,0.8330680109666578,0.9056992875890514,0.8114754098360656,0.9211454940282302,0.8809523809523809,0.8107115725500127,0.8041322314049587,0.7422572677180316,0.6723963599595552,0.7093827482709122
13,0.8332891129388874,0.9000749906261717,0.7704918032786885,0.9215526601520087,0.873015873015873,0.8159027601924538,0.8049586776859504,0.7513775413262398,0.6830131445904954,0.7089260080908261
14,0.8355885734500752,0.9025121859767529,0.7786885245901639,0.9220955483170467,0.8611111111111112,0.813243859204862,0.8012396694214876,0.7389321679650389,0.6774519716885743,0.706903301579016
best_n,8.0,6.0,6.0,6.0,2.0,3.0,2.0,8.0,1.0,2.0
